Longitude,Latitude,hour,month,weekday,park
-122.333235576,47.606444572,18,7,0,104
-122.332880943,47.599623073,18,7,0,98
-122.327657828,47.60127855,18,7,0,106
-122.352759418,47.53274516,18,7,0,27
-122.295773525,47.719281822,18,7,0,36
-122.318878582,47.685299336,19,7,0,69
-122.288031628,47.58860109,19,7,0,92
-122.318269293,47.659457069,19,7,0,91
-122.286251242,47.548903142,19,7,0,54
-122.295773525,47.719281822,19,7,0,36
-122.412960383,47.652011232,19,7,0,29
-122.320755782,47.608657483,19,7,0,120
-122.327680653,47.596655376,17,7,0,105
-122.302727335,47.612265425,16,7,0,124
-122.338964341,47.614775783,17,7,0,105
-122.344497649,47.685861246,20,7,0,61
-122.356637849,47.688388849,18,7,0,52
-122.36556619,47.627478565,17,7,6,70
-122.339755759,47.622630087,17,7,0,110
-122.280776523,47.530727271,19,7,0,35
-122.335878956,47.606818042,19,7,0,101
-122.369062261,47.652138946,17,7,0,75
-122.313148997,47.660532243,19,7,0,89
-122.323337342,47.567191516,20,7,0,70
-122.334817771,47.61236845,20,7,0,103
-122.328956685,47.554894981,20,7,0,42
-122.315680051,47.599199533,20,7,0,122
-122.336938539,47.612168781,21,7,0,103
-122.323493891,47.589453006,21,7,0,99
-122.367090992,47.675983635,21,7,0,62
-122.314224054,47.664004061,21,7,0,84
-122.290415551,47.556173298,23,7,0,62
-122.320113575,47.614080416,23,7,0,121
-122.300082893,47.677593178,23,7,0,63
-122.26527429,47.551118161,23,7,0,36
-122.325466587,47.673985901,22,7,0,84
-122.317845639,47.708105882,0,7,1,49
-122.344363969,47.615036752,0,7,1,93
-122.387202705,47.581187603,0,7,1,43
-122.302323073,47.702077164,21,7,0,46
-122.347730015,47.728224593,21,7,0,18
-122.40459071,47.67021077,0,7,1,38
-122.313028641,47.670214313,14,7,0,79
-122.320771373,47.613519515,22,7,0,122
-122.382545647,47.50589422,20,7,0,20
-122.31015095,47.616016534,21,7,0,134
-122.302727335,47.612265425,21,7,0,124
-122.333211286,47.602016055,23,7,0,99
-122.308804002,47.57606599,23,7,0,96
-122.317892558,47.537087208,0,7,1,23
-122.331124149,47.601717571,21,7,0,102
-122.299158732,47.579672245,23,7,0,102
-122.264763994,47.50834914,12,7,3,20
-122.331243563,47.606784793,1,7,1,107
-122.360455286,47.529181168,2,7,1,29
-122.272666752,47.694097727,2,7,1,21
-122.387185531,47.559081211,3,7,1,50
-122.325069889,47.595415643,4,7,1,102
-122.345422125,47.611557226,4,7,1,90
-122.312715578,47.635389604,1,7,1,122
-122.325907687,47.617737984,2,7,1,115
-122.304888772,47.585501595,3,7,1,110
-122.304938901,47.560589532,0,7,1,79
-122.260807801,47.516000393,1,7,1,22
-122.334311582,47.608460261,4,7,1,102
